,Category,Description,carbs,protein,fat,fiber,calories,goal_tag,diet_type,match_score
2786,coffee,"coffee, latte, decaffeinated, with non-dairy milk",-0.8191983125033226,-0.942878350486134,-0.9183839185785742,-0.6666116218146458,-1.2973322302211283,4,1,0.5455845596209399
2787,coffee,"coffee, latte, decaffeinated, flavored",-0.6841052222881318,-0.7785166005560393,-0.8533605204392869,-0.756656900553733,-1.1289644360929956,4,1,0.5473643565362981
2788,coffee,"coffee, latte, decaffeinated, nonfat, flavored",-0.684555532588849,-0.7706362426826787,-1.0303686598184578,-0.756656900553733,-1.2253123500015617,4,1,0.5851264404087024
2789,coffee,"coffee, latte, decaffeinated, with non-dairy milk, flavored",-0.6782511883788068,-0.9473814121280544,-0.920792192583733,-0.6666116218146458,-1.2069921539003947,4,1,0.5360111807612562
2790,frozen coffee drink,frozen coffee drink,-0.4193227654663575,-0.9102311535822112,-0.930425288604368,-0.756656900553733,-1.0319489846746706,4,1,0.5228796160139934
2791,frozen coffee drink,"frozen coffee drink, nonfat",-0.4197730757670748,-0.9057280919402908,-1.0303686598184578,-0.756656900553733,-1.0864645479716653,4,1,0.5442232903541904
2792,frozen coffee drink,"frozen coffee drink, with non-dairy milk",-0.4170712139627709,-1.0059212134730198,-0.9677535356843294,-0.7116342611841894,-1.0763773144908608,4,1,0.5160348060479221
2793,frozen coffee drink,"frozen coffee drink, with whipped cream",-0.4445401423065265,-0.9023507957088504,-0.7052516691220214,-0.756656900553733,-0.921656953895581,4,1,0.4796504415884046
2794,frozen coffee drink,"frozen coffee drink, nonfat, with whipped cream",-0.4449904526072437,-0.89784773406693,-0.8003784923257936,-0.756656900553733,-0.973502367153539,4,1,0.5000046187231503
2795,frozen coffee drink,"frozen coffee drink, with non-dairy milk and whipped cream",-0.4422885908029399,-0.9924120285472584,-0.7425799162019826,-0.7116342611841894,-0.9646018670234175,4,1,0.47378305536397797
2796,frozen coffee drink,"frozen coffee drink, decaffeinated",-0.4166209036620536,-0.909105388171731,-0.9292211516017888,-0.756656900553733,-1.0292046638012164,4,1,0.5226497164583571
2797,frozen coffee drink,"frozen coffee drink, decaffeinated, nonfat",-0.4170712139627709,-0.9057280919402908,-1.0303686598184578,-0.756656900553733,-1.084684447945641,4,1,0.544045280351588
2798,frozen coffee drink,"frozen coffee drink, decaffeinated, with non-dairy milk",-0.4166209036620536,-0.9485071775385344,-0.9533038916533766,-0.7116342611841894,-1.052939330814874,4,1,0.5230063682625775
2799,frozen coffee drink,"frozen coffee drink, decaffeinated, with whipped cream",-0.4422885908029399,-0.9023507957088504,-0.7040475321194419,-0.756656900553733,-0.9195059996974684,4,1,0.47925472561820637
2800,frozen coffee drink,"frozen coffee drink, decaffeinated, nonfat, with whipped cream",-0.4427389011036572,-0.89784773406693,-0.7991743553232142,-0.756656900553733,-0.9713514129554264,4,1,0.4996089027529521
2801,frozen coffee drink,"frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",-0.4395867289986361,-0.9924120285472584,-0.7413757791994032,-0.7116342611841894,-0.962154229487634,4,1,0.4733576710600127
2802,coffee,"coffee, cafe mocha",-0.5625214410944599,-0.796528847123721,-0.8654018904650809,-0.756656900553733,-1.060282243422224,4,1,0.5386998934595537
2803,coffee,"coffee, cafe mocha, nonfat",-0.5652233028987638,-0.7920257854818007,-1.0315727968210373,-0.756656900553733,-1.1529957864443237,4,1,0.5737974960435411
2804,coffee,"coffee, cafe mocha, with non-dairy milk",-0.5593692689894387,-0.9563875354118953,-0.9292211516017888,-0.7116342611841894,-1.1357139820250044,4,1,0.5260953508011802
2805,coffee,"coffee, cafe mocha, decaffeinated",-0.5625214410944599,-0.7976546125342011,-0.8654018904650809,-0.756656900553733,-1.060578926759895,4,1,0.5385044087112247
2806,coffee,"coffee, cafe mocha, decaffeinated, nonfat",-0.5629717513951772,-0.7909000200713207,-1.0315727968210373,-0.756656900553733,-1.1512156864182996,4,1,0.5738446391230347
2807,coffee,"coffee, cafe mocha, decaffeinated, with non-dairy milk",-0.5571177174858523,-0.9552617700014152,-0.9292211516017888,-0.7116342611841894,-1.1339338819989802,4,1,0.5261424938806738
2808,frozen mocha coffee drink,frozen mocha coffee drink,-0.4346333156907457,-0.9158599806346116,-0.9364459736172652,-0.756656900553733,-1.046857322392624,4,1,0.5241477871272432
